,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Pickup_x,Pickup_y,Dropoff_x,Dropoff_y,start_edge,end_edge,id,depart,vClass,departLane,type,departSpeed
261,63623114929e9d5ba8ca1c42d47034e92da3e51a,a6405b39ca4362ab564d1958c2fa2b228215348fdb3a3b3c4cdccdc735e55806ed3c4140ee01aafa6f309fd87f5dcfe1ff2a36e38daa3f08b20a3b756c427d27,03/01/2019 12:30:00 PM,03/01/2019 12:45:00 PM,720,3.2,17031081401.0,17031330100.0,8.0,33.0,11.25,0.0,0.0,0.0,11.25,Cash,Star North Management LLC,41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),13226.876501449384,11135.36641502101,13393.542399950791,7172.094790545292,461207921#0,316907585,taxi_117,510.0257077683086,,best,veh_passenger,None
263,e811f18fbe1f8089d37abc40e89b3d7397265d30,699d7d0fda1b14c3729b94e7fe96d2bb39839704732b53650ae548627fb2345a70fd917f8328ed21ae6e8baa1281c7a137655f6d887b278924e68839aa4ced21,03/02/2019 10:15:00 AM,03/02/2019 10:30:00 AM,420,2.1,17031081000.0,17031839100.0,8.0,32.0,7.75,1.0,0.0,0.0,8.75,Credit Card,KOAM Taxi Association,41.900265687,-87.63210922,POINT (-87.6321092196 41.9002656868),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),12202.645804296539,11723.792301077396,12134.00798140082,9584.547444195487,253710123#12,134319745#0,taxi_118,515.7762532221027,,best,veh_passenger,None
264,d874d6ecef0c40fd902d1bdcac5ec728574fefd7,d75005ed5795e5ef2283f7e9178838ec58c0b2138a009eadb0b13ba68a592c6b1451ed1fc8a94844d3da78137a4bb498e92fdaeceb1c2843c03331f3f5f634ee,03/02/2019 11:45:00 AM,03/02/2019 12:00:00 PM,660,1.6,17031081300.0,17031320400.0,8.0,32.0,8.5,0.0,0.0,1.0,9.5,Cash,Taxi Affiliation Services,41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),13142.24239234865,11502.204498006962,13025.133774957969,9179.60784426704,-316912742,33116710#0,taxi_119,521.2569851250463,,best,veh_passenger,None
265,76895df6ca4578e1f8ba961427f7e349f55e93a7,c545ff2dbd16e8f36d11fc6c3b42188d3ecd5f17e2d178941712970b9e72847f956de55a71615efc6048116cae4afb4a729d103778d4df8cca0e8c4092b31f81,03/02/2019 05:45:00 PM,03/02/2019 06:00:00 PM,420,0.7,17031081202.0,17031081403.0,8.0,8.0,6.25,0.0,0.0,1.0,7.25,Cash,Chicago Independents,41.902788048,-87.62614559,POINT (-87.6261455896 41.9027880476),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),12699.357244118815,12000.216594858095,13293.45768353925,10678.380976659246,-834947074#3,220306134#2,taxi_120,522.632538541993,,best,veh_passenger,None
267,761bb93d2271a94088f492e5117da4bd7d4eed70,01cda9c2246fc6ea379c9b7aaa51bfa77e7bb4a7260d7fa7b31751b00f582c55195bdb4c847f95551951bc0e5c6baa2b69fd180479b098b4afc2cbdd90737a9e,03/03/2019 02:45:00 AM,03/03/2019 02:45:00 AM,600,0.9,17031081800.0,17031081700.0,8.0,8.0,7.75,0.0,0.0,1.0,8.75,Cash,Taxi Affiliation Services,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),11721.124692709534,10944.643321189098,12216.266053279163,10810.601439353079,23891801#0,965387812#0,taxi_121,529.4951357426694,,best,veh_passenger,None
268,8d4a4ec6e5c546b68d5afd6172a64b7aca6ca6d6,01480513a7f6f4664d6cc4c41ff3043ae6ecbc8cb17404f45de6db711747adf72cf309207bcde58413778d568f67a548640421aedac9a6f961b6919b6e662e8f,03/03/2019 03:15:00 AM,03/03/2019 03:30:00 AM,540,0.0,17031320100.0,17031062100.0,32.0,6.0,14.75,3.65,0.0,0.0,18.4,Credit Card,Blue Ribbon Taxi Association Inc.,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.942691844,-87.651770507,POINT (-87.6517705068 41.9426918444),13112.436993356852,10020.725180737674,10607.595324691909,16446.49178212136,583081972,24078773#3,taxi_122,534.349547013746,,best,veh_passenger,None
270,c01cfa6245293b1fdc679855053c1c0b7fa0f7e8,e1a41c8d6d3b0e4aa884ccb8a99f70075f76d82a7f1f5fdb22458603b24e705b13a627fe195e64b0999352c57dd2d374816b9bf3af8af4449ca6642d5b10827b,03/03/2019 06:15:00 PM,03/03/2019 06:15:00 PM,720,1.9,17031320100.0,17031842300.0,32.0,24.0,9.0,0.0,0.0,0.0,9.0,Cash,1085 - 72312 N and W Cab Co,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.89830587,-87.653613982,POINT (-87.6536139825 41.8983058696),13112.436993356852,10020.725180737674,10417.224136007135,11519.56492003519,583081972,35767298,taxi_123,541.3571853214211,,best,veh_passenger,None
271,b81343443b0391c0ebb09a54c8c6dca3f8cb0012,e30325d7d21a95e76154ac70fd5f3cc84547b05fc66042dfa344f43c2f1cf486de46bdc318c9570d6a5476e3000e37acd4a390f8ba9de343608fb4298366bf2a,03/03/2019 11:00:00 PM,03/03/2019 11:15:00 PM,566,2.66,17031081500.0,17031070102.0,8.0,7.0,9.5,0.0,0.0,0.0,9.5,Cash,Chicago Carriage Cab Corp,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.93057857,-87.642206313,POINT (-87.6422063127 41.9305785697),12685.276812698052,10858.865207103081,11390.319969210483,15095.590663240291,56720835#3,24094029#5,taxi_124,546.1303683711777,,best,veh_passenger,None
272,c72b27c1d0648677d6e9c251115cabb8b3f8693d,7ae35df0e9996a29e76fcb12863c5a1eee8d6512695aff517344da28f1baaac08d71a805c75ded64918bb9689430e65f11f33edf8201a29c24aa363b3f845707,03/04/2019 11:30:00 AM,03/04/2019 11:45:00 AM,420,1.1,17031320100.0,17031081700.0,32.0,8.0,6.5,2.0,0.0,0.0,9.0,Credit Card,Globe Taxi,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),13112.436993356852,10020.725180737674,12216.266053279163,10810.601439353079,583081972,965387812#0,taxi_125,546.1355154363292,,best,veh_passenger,None
275,308fb780645a5ac7873fc112e2523367ab25b13c,29e9c1f8071508e15fe99c12fae2e0e25949a618458f2383199a9c5e18f97a7d72aa451fb97144a238872d24e5a74e997334afa08827eee4ca45b4aa15e539ad,03/04/2019 05:45:00 PM,03/04/2019 06:00:00 PM,631,2.31,17031081403.0,17031281900.0,8.0,28.0,9.5,2.0,0.0,0.0,12.0,Credit Card,Taxi Affiliation Service Yellow,41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),13293.45768353925,10678.380976659246,11310.927751319367,9397.533141246997,220306134#2,319345470#0,taxi_126,549.0529199493712,,best,veh_passenger,None
276,7112bbbf10fa0b2a699127e60cf103fb8c8db4b4,07fa696842b49d5742b2638d5b08bb26eafa3d780b52373314a01823151dc4950955969fefc19ba75ff6bcf5483dcf4d134df78a4c0365092f8e88a8ac292d2b,03/04/2019 06:15:00 PM,03/04/2019 06:30:00 PM,518,1.42,17031081403.0,17031839100.0,8.0,32.0,7.5,3.0,0.0,0.0,11.0,Credit Card,Flash Cab,41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13293.45768353925,10678.380976659246,12134.00798140082,9584.547444195487,220306134#2,134319745#0,taxi_127,549.2282106308437,,best,veh_passenger,None
278,f0f45bcf600134558b0976da5d5dcd7bee6746b1,de0c7465b6b6befec9c1ed6f7f3290706f5fae5c7981e349fab96a06408a38fdde9837a6c6c8fc3e4049860f8acc558ab4c557acd4b9e2d845e6cb9a3dbf9724,03/04/2019 07:45:00 PM,03/04/2019 07:45:00 PM,300,0.0,17031833000.0,17031839100.0,28.0,32.0,5.5,2.0,0.0,0.0,7.5,Credit Card,Blue Ribbon Taxi Association Inc.,41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),10105.933551041875,10075.774430510588,12134.00798140082,9584.547444195487,283273061#7,134319745#0,taxi_128,557.5900981772253,,best,veh_passenger,None
279,4aa41f0645152ee0031bb46d4e3c8199e8d8fa6c,bc590928d25a43b39c12a23b03830d05874039f7589e22594feb534d65cffcf62280f139b6a31323a9741283cc776932a4c3edc668aabd545c31d9c3397d5f39,03/04/2019 09:00:00 PM,03/04/2019 09:15:00 PM,600,4.7,17031320100.0,17031070200.0,32.0,7.0,14.25,3.05,0.0,1.0,18.3,Credit Card,Taxi Affiliation Services,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.929077655,-87.646293476,POINT (-87.6462934762 41.9290776551),13112.436993356852,10020.725180737674,11050.204728416924,14931.49289394822,583081972,-24094015#3,taxi_129,565.4985950776339,,best,veh_passenger,None
280,994e6636b982021529997df738ad2203e44d0950,71fad516405e21c33445a210604a4b5edf2572fe37ddc1da1cd203c6001ba1477fd7811d3a5d8155069cb0e2d427d4818716d95f212b6bfbeb2f98d1a65d1308,03/04/2019 09:45:00 PM,03/04/2019 10:00:00 PM,851,6.35,17031320400.0,17031062000.0,32.0,6.0,18.5,0.0,0.0,0.0,18.5,Cash,Chicago Carriage Cab Corp,41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),41.942577185,-87.647078509,POINT (-87.6470785093 41.942577185),13025.133774957969,9179.60784426704,10996.430511697603,16430.8147342233,33116710#0,24078773#0,taxi_130,572.9835848418845,,best,veh_passenger,None
282,fa31eae411b341e0c444cde82324a5216ce0fd0f,4324dfe74f160fb8c591887de768a75a7f87b58c3ff790795ed710b0a9f956375c4ee257e2ab4cc2e779b0fa3fe87d740351fbaf63c8e39a8331b974ed2d1232,03/05/2019 01:00:00 PM,03/05/2019 01:15:00 PM,379,0.9,17031320400.0,17031081403.0,32.0,8.0,6.0,0.0,0.0,1.0,7.0,Cash,Chicago Taxicab,41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),13025.133774957969,9179.60784426704,13293.45768353925,10678.380976659246,33116710#0,220306134#2,taxi_131,575.7512119705085,,best,veh_passenger,None
283,07bfb06226828a32dbf4b23b13caa96ee4a2517a,c3fe9312c9722befcf39d581225faa3d8dfae24c783c7443d360a6ffd567782720616e61ad54176b81d68a5611199c2fa710d69cc8427bc3d9d08bd8f9bab052,03/05/2019 03:00:00 PM,03/05/2019 03:15:00 PM,500,1.3,17031839100.0,17031081201.0,32.0,8.0,7.5,3.0,0.0,0.0,11.0,Credit Card,City Service,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),12134.00798140082,9584.547444195487,12691.026809468807,11596.955147879198,134319745#0,1040118849#0,taxi_132,576.2725384689562,,best,veh_passenger,None
284,56d6022d819d04b5f670beb16e745fe177ee37b9,c11184943f2fc77f6be919a1945ac00c2925afbbf70fd27145133e8d592df871687a5ebe99bb9237ae5897f57d4a76f25c9d6b6a8aba0b6704ff64187f7041c7,03/05/2019 03:15:00 PM,03/05/2019 03:15:00 PM,240,0.5,17031081700.0,17031839100.0,8.0,32.0,5.0,1.0,0.0,0.0,6.0,Credit Card,Taxi Affiliation Services,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),12216.266053279163,10810.601439353079,12134.00798140082,9584.547444195487,965387812#0,134319745#0,taxi_133,584.1746248617926,,best,veh_passenger,None
286,61e34855cfc090ed23877d84c0210399b19527ab,19447854f6105afc7307d18998685917b36bbbb2c8a7e59a6801448176ca7c8064ac13ac7cbf0f6858fcc28613497a7623fbffe4393fe437df465d609226c018,03/05/2019 09:30:00 PM,03/05/2019 09:45:00 PM,487,2.0,17031081201.0,17031832600.0,8.0,7.0,8.25,0.0,0.0,1.0,9.25,Cash,Taxi Affiliation Service Yellow,41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),41.914747305,-87.654007029,POINT (-87.6540070286 41.9147473049),12691.026809468807,11596.955147879198,10398.538787613448,13345.270307809114,1040118849#0,-24087172#0,taxi_134,592.6971698694746,,best,veh_passenger,None
289,f7686ac0b0c7d36969c23b7a379c3264cab7351e,1833edab9ed696386a8224986104fd046eaf9ea8dffb9e6af88344a532571d62aa2a7cfac491361ed8bc9964684f26ab9a24a1ba647ee24c148a4da9125bb283,03/06/2019 04:15:00 PM,03/06/2019 04:30:00 PM,360,0.0,17031081500.0,17031839100.0,8.0,32.0,6.5,0.0,0.0,0.0,6.5,Cash,Taxi Affiliation Services,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),12685.276812698052,10858.865207103081,12134.00798140082,9584.547444195487,56720835#3,134319745#0,taxi_135,593.4680509380855,,best,veh_passenger,None
290,7f268749807f0a5f9e38b1d52c5f768f5eb7e24c,6a23e62ff9add07c054168d9bb0ee5c00d1a4306b3467c98f31501bb7298646ba50c1f8c8b59344393a10b79067a115eb2611486a25fb20e02dc2c92b69fcef4,03/06/2019 05:30:00 PM,03/06/2019 05:30:00 PM,480,0.9,17031839100.0,17031281900.0,32.0,28.0,6.75,0.0,0.0,1.0,7.75,Cash,Taxi Affiliation Services,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),12134.00798140082,9584.547444195487,11310.927751319367,9397.533141246997,134319745#0,319345470#0,taxi_136,597.841965107935,,best,veh_passenger,None
292,79cb58d78b6d065afa7b592cf77e7e23c9d4af6b,f68eb3233f3e33e98e337a0442bfe5eb660e6f58de5df0bf5950f92efae803e34c430d71038e2d6a0d2472595c305e4f54be0c42f946d3971af121f08734ac08,03/06/2019 07:00:00 PM,03/06/2019 07:15:00 PM,823,4.83,17031081500.0,17031832200.0,8.0,22.0,15.0,0.0,0.0,0.0,15.5,Credit Card,Sun Taxi,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.920451512,-87.679954768,POINT (-87.6799547678 41.9204515116),12685.276812698052,10858.865207103081,8251.748212166305,13995.331911024638,56720835#3,31345895#3,taxi_137,598.4648777741505,,best,veh_passenger,None
295,ee74bc25582a2b48485ca7b8ea2c7db27181aa84,d133de68d7dfb2069cd26b91cc2e0a934b2e3d125f7ce76dcbe456015776df5e688727e0abdd8b0016cdff2072ef3f65f6e10b7694560473c0bea15f75d1d562,03/06/2019 09:15:00 PM,03/06/2019 09:30:00 PM,368,1.67,17031081402.0,17031839100.0,8.0,32.0,7.25,3.0,0.0,0.0,10.75,Credit Card,Chicago Carriage Cab Corp,41.891971508,-87.612945414,POINT (-87.6129454143 41.8919715078),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13785.653896661825,10791.375302791595,12134.00798140082,9584.547444195487,435657389,134319745#0,taxi_138,605.3102972614656,,best,veh_passenger,None
296,728f22873cddf10b7b05638dd36d280040707024,68d76598a13e626039f228d365e5aafb1725e207bf59eaab54ec0d807020f871a885e7ab8dff34c508ec7d21a124ff9be49940e5518c75caf1a9a251af578232,03/07/2019 09:00:00 AM,03/07/2019 09:15:00 AM,608,1.38,17031081403.0,17031081800.0,8.0,8.0,7.75,2.0,0.0,0.0,10.25,Credit Card,Flash Cab,41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),13293.45768353925,10678.380976659246,11721.124692709534,10944.643321189098,220306134#2,23891801#0,taxi_139,612.2028071252286,,best,veh_passenger,None
298,5c02c02d8e37cda1430966131eb6730d831577cd,fd38e708d9822f5a3f2f1926f31d647813cda8e7ca123e925d984e9812c7686093e008cb6e233cf8e81e2b9b01f20b416210e4a587ec023dced093b3d3d041d3,03/07/2019 06:30:00 PM,03/07/2019 06:45:00 PM,360,1.3,17031839100.0,17031320100.0,32.0,32.0,6.75,0.0,0.0,0.0,6.75,Cash,Chicago Independents,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12134.00798140082,9584.547444195487,13112.436993356852,10020.725180737674,134319745#0,633946076,taxi_140,613.3583303057264,,best,veh_passenger,None
300,e9c3aee0c18a3777eed45caa195171dd473fff0f,3ab5300e6e7ee5a0f90b99ed2b65f3c37a9646941142800dc958874579300a5900f3f2437fd531d0468e9ec3cd611c87a27eacb39997038128635c257cf95e22,03/07/2019 08:30:00 PM,03/07/2019 08:45:00 PM,198,0.45,17031081201.0,17031080100.0,8.0,8.0,4.5,0.0,0.0,1.5,6.0,Cash,City Service,41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),41.907520075,-87.6266589,POINT (-87.6266589003 41.90752007470001),12691.026809468807,11596.955147879198,12660.619306057866,12525.91376172565,1040118849#0,24098485#0,taxi_141,617.635871708615,,best,veh_passenger,None
302,cc9e18ba1ce1cfb3a0382090d12754b126a62f44,3aca3a7b083a44e1120981e53fa0e59afab7f01786ac2c239d6625b7f1f51ece25ca67c5c5aff7f8426a2fed917f96e397bcf854ba7ffcd9b30b495b1c817b9c,03/08/2019 12:15:00 PM,03/08/2019 12:15:00 PM,480,0.0,17031839100.0,17031281900.0,32.0,28.0,7.25,2.0,0.0,0.0,9.25,Credit Card,Blue Ribbon Taxi Association Inc.,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),12134.00798140082,9584.547444195487,11310.927751319367,9397.533141246997,134319745#0,319345470#0,taxi_142,622.5841040500695,,best,veh_passenger,None
309,8f83550f47c3ea7edba0874c8e507b03d10a5b42,becbed28652c6ab949a43c0da1477d2908136432eff7f2d4c8cf4c35f28e45887173e4a29d86c34b1a6b18a30a4affd23c109710d8dc63b1038cf7de10211da2,03/09/2019 06:30:00 PM,03/09/2019 06:45:00 PM,910,2.87,17031081202.0,17031839000.0,8.0,32.0,11.5,0.0,0.0,0.0,11.5,Cash,Chicago Carriage Cab Corp,41.902788048,-87.62614559,POINT (-87.6261455896 41.9027880476),41.87101588,-87.631406525,POINT (-87.6314065252 41.8710158803),12699.357244118815,12000.216594858095,12237.037703317474,8475.833631490357,-834947074#3,-73911663#3,taxi_143,624.9696137105301,,best,veh_passenger,None
311,575934bb731ef2fcfd85e342317136c85d4b6c94,e359d5075e374693cbfd6422e64804dd03380d648c15630eba449e8d8d70c16be3c1c3f6b933fa2bf59ff43b489eef9a1e287267b3637b73f26211c7df2f84dd,03/10/2019 08:15:00 AM,03/10/2019 08:30:00 AM,493,2.04,17031081300.0,17031280100.0,8.0,28.0,8.5,0.0,0.0,1.0,10.0,Credit Card,Flash Cab,41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),13142.24239234865,11502.204498006962,11302.723054060945,10068.785636899062,-316912742,145857394#0,taxi_144,632.8215110802975,,best,veh_passenger,None
312,31f6ce5209d56a0cb363c62d635a2b8d6d0d00ce,88587b1b3f46c6a3526bc22b80ea29f70a9c16a91974669ab2bd71565e0904a81e50fdb8f6edbedb657b2f89ca79a19621a072094ef50a9eed154a8028824af0,03/10/2019 12:00:00 PM,03/10/2019 12:15:00 PM,733,1.74,17031081403.0,17031281900.0,8.0,28.0,9.0,0.0,0.0,1.0,10.0,Cash,Chicago Carriage Cab Corp,41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),13293.45768353925,10678.380976659246,11310.927751319367,9397.533141246997,220306134#2,319345470#0,taxi_145,636.6297525421054,,best,veh_passenger,None
314,5cc5d3485bf86c7cbf00ecd70bd4f2961313d11b,d74c2b862831c0bd0fd1b145a6ad9eeaeb31b345e5a71c5121676b206bb6d7782a570b174320ba5cb3b525649304f6ae95670f7c3f50bea7037e2e6b9c3d6bd7,03/11/2019 11:30:00 AM,03/11/2019 11:30:00 AM,180,0.4,17031081401.0,17031081403.0,8.0,8.0,4.5,0.0,0.0,0.0,4.5,Cash,Globe Taxi,41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),13226.876501449384,11135.36641502101,13293.45768353925,10678.380976659246,461207921#0,220306134#2,taxi_146,638.5359363910841,,best,veh_passenger,None
315,f13cbfbb027d8bc206979a1ab8ef6b2a1995e960,54726318390e775ddecb9aec77e8c4d0059b5f170454e61bcb9c1ef944beb8e68122f5331f5e25223390eeb0163b90b369ee1717b9aa11dd5a325ef5a9e8d7af,03/11/2019 01:00:00 PM,03/11/2019 01:15:00 PM,540,0.0,17031081300.0,17031320400.0,8.0,32.0,8.0,1.6,0.0,0.0,9.6,Credit Card,Taxi Affiliation Services,41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),13142.24239234865,11502.204498006962,13025.133774957969,9179.60784426704,-316912742,33116710#0,taxi_147,643.3896011900993,,best,veh_passenger,None
316,3a1f74bbd19b420d4469b84781c5ecaec84c5ce1,f5337a97915bf0266c525517caa320f251c924c8ece954720c0ff26ef0b9497799e171511560859486ba69d566c5c199db8417011ec1c8fca093ce70dbba554f,03/11/2019 01:15:00 PM,03/11/2019 01:15:00 PM,499,1.08,17031080202.0,17031081700.0,8.0,8.0,6.5,0.0,0.0,0.0,6.5,Cash,Taxi Affiliation Service Yellow,41.905857769,-87.630865027,POINT (-87.6308650266 41.9058577688),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),12310.41427818028,12343.908715041354,12216.266053279163,10810.601439353079,24106450#6,965387812#0,taxi_148,649.958980811909,,best,veh_passenger,None
317,9813b20b0ac46fa5e41fd0edb092da6ba5bc50d8,0ec47f4701f91d7ec5be91fc7b7e4a05e3bf591444ca4fc68aff4cb986b52abd2a7936c0565f3f1ec5d3782a34ec94e8b7afc14896a42497b2814d01f208a608,03/11/2019 05:00:00 PM,03/11/2019 05:15:00 PM,581,1.72,17031281900.0,17031081403.0,28.0,8.0,8.25,2.0,0.0,0.0,10.75,Credit Card,Gold Coast Taxi,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),11310.927751319367,9397.533141246997,13293.45768353925,10678.380976659246,1031291396#1,220306134#2,taxi_149,651.7693403824162,,best,veh_passenger,None
320,2fc2c38e8efe855047ff2def8071e043c7b14892,ddc0a237498a82a0803761188d0ea048623b5d91f29ad2b1ba514d1b4eec6f5bdaa2ed6e1d1df38960d9bce8935fc9cae8826d55b73261dc4f60d01af8a02617,03/12/2019 08:15:00 AM,03/12/2019 08:30:00 AM,699,1.5,17031320100.0,17031081201.0,32.0,8.0,8.5,1.7,0.0,0.0,10.2,Mobile,Flash Cab,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),13112.436993356852,10020.725180737674,12691.026809468807,11596.955147879198,583081972,1040118849#0,taxi_150,654.5747870041242,,best,veh_passenger,None
322,0421026f2bf76df7556bd1e7ea6c0663d361c30e,693df44ce3a8256a0fcdace4d211a99ab8af09c75f35dfc0d26ce23db4d9831abc2bf7081adb70616722e53f23c17b5668c1352aa2ebec2044ec04cd46c20cc4,03/12/2019 12:00:00 PM,03/12/2019 12:15:00 PM,321,0.73,17031281900.0,17031839100.0,28.0,32.0,5.5,2.0,0.0,0.0,8.0,Credit Card,Chicago Carriage Cab Corp,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),11310.927751319367,9397.533141246997,12134.00798140082,9584.547444195487,1031291396#1,1049318471#0,taxi_151,663.5311312140723,,best,veh_passenger,None
324,14c39d6954b1e4bd1d38fe6549fc83d2d0e1964b,8da9e1d18757022c6a6a614fc2d38483e38aae441feff500095a83ebc68006cf88329f2c28e35ba92ead14037739f9971a8a2852f946ebc59d0160c4f1104ec8,03/13/2019 02:45:00 PM,03/13/2019 02:45:00 PM,324,0.89,17031320400.0,17031320100.0,32.0,32.0,6.0,2.0,0.0,0.0,8.5,Credit Card,Sun Taxi,41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),13025.133774957969,9179.60784426704,13112.436993356852,10020.725180737674,33116710#0,633946076,taxi_152,669.3800337328273,,best,veh_passenger,None
326,8a5eddb3bb3f9e211d16e19e91c97b2367c983bf,be7e4b0688c05ab5b38f29223f172621b882363c2654b532132cbc37b75e68ebd6f272f2ec172f95cf3b1a97a2b9a887884dd34d3293aee06ff3a7672e4e93ed,03/13/2019 03:45:00 PM,03/13/2019 04:00:00 PM,360,0.0,17031320100.0,17031281900.0,32.0,28.0,6.25,0.0,0.0,0.0,6.25,Cash,Taxi Affiliation Services,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),13112.436993356852,10020.725180737674,11310.927751319367,9397.533141246997,583081972,319345470#0,taxi_153,673.3229344880579,,best,veh_passenger,None
329,02474a2f46be2cfc94e4ce081d315038546ec596,86f31536149b4efca1799d06aeaab1f7d65c8461066c733b822ab950ca912af668c4967110f02a0730d02b7c13da4e7bd9c4c563bd5d8ee5861370d793c05eb8,03/13/2019 09:30:00 PM,03/13/2019 09:30:00 PM,475,1.34,17031281900.0,17031081403.0,28.0,8.0,7.0,2.0,0.0,0.0,9.5,Credit Card,Flash Cab,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),11310.927751319367,9397.533141246997,13293.45768353925,10678.380976659246,1031291396#1,220306134#2,taxi_154,677.9811170573781,,best,veh_passenger,None
330,1ddebf4e6e0d0106f61199f5124dcda3a524f48a,5bfc3be2c0eeeb6918ef2b9be98e451a4f6009d55fbbc314ba7bb0a9627a769007cef9900da4af8f53b3e39dd05feaccd6506c40406720002d747d5639b92ce1,03/14/2019 12:00:00 PM,03/14/2019 12:00:00 PM,360,0.8,17031081401.0,17031320100.0,8.0,32.0,6.0,0.0,0.0,0.0,6.0,Cash,Medallion Leasin,41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),13226.876501449384,11135.36641502101,13112.436993356852,10020.725180737674,461207921#0,583081972,taxi_155,679.0701548201926,,best,veh_passenger,None
